product_code,name,counted_litres,ledger_at_cutoff,system_now,moved_since_cutoff,moved_on_count_day,new_balance,change,tech_cleared,sheet_said_system_had
"FRAG_0098","Matiere Noire",20,20000,20000,0,,20000,0,0,20000
"FRAG_0099","Miami Strong",190,155750,152350,-3400,yes,186600,34250,0,31750
"FRAG_0100","Moonlight Patchouli",6,6000,6000,0,,6000,0,0,6000
"FRAG_0101","Miami Woods",121,92400,89400,-3000,yes,118000,28600,0,-6800
"FRAG_0102","Noel",45,34000,47000,13000,,58000,11000,0,47000
"FRAG_0103","New Hope",37,15600,31000,15400,,52400,21400,0,31000
"FRAG_0104","Native B",35.5,33300,33300,0,,35500,2200,0,34600
"FRAG_0105","Noir ",50,48400,47400,-1000,,49000,1600,0,49400
"FRAG_0106","New CBD Perth d3",30,25000,25000,0,,30000,5000,0,25000
"FRAG_0107","Orange & Bergamot",17.5,17000,17000,0,,17500,500,0,17000
"FRAG_0108","Oz Design Signature",26,25050,25050,0,,26000,950,0,25500
"FRAG_0109","Orange Grass",10,9000,9000,0,,10000,1000,0,9000
"FRAG_0110","Orchidee Narco",26,23100,23100,0,,26000,2900,0,23100
"FRAG_0111","Orange B",20,21000,21000,0,,20000,-1000,0,21000
"FRAG_0113","Oud",37,35300,35300,0,,37000,1700,0,35700
"FRAG_0114","Premiere",57,56100,56100,0,,57000,900,0,56100
"FRAG_0115","Park Hyatt Peony (Hyatt Peony)",63,62800,58800,-4000,yes,59000,200,0,63000
"FRAG_0116","Patisserie",138,146650,132650,-14000,yes,124000,-8650,0,149850
"FRAG_0117","Peppermint",11,11200,11200,0,,11000,-200,0,11200
"FRAG_0118","Pepperwood",170,197350,194650,-2700,yes,167300,-27350,27000,191350
"FRAG_0119","Porsche",6,5900,5900,0,,6000,100,0,5900
"FRAG_0120","Querces",170,202700,200900,-1800,yes,168200,-32700,20000,202700
"FRAG_0121","Rosemary & Cinnamon Blend",0,9300,3500,-5800,,-5800,-9300,0,3500
"FRAG_0122","Rosewater",4,7900,5000,-2900,,1100,-3900,0,5000
"FRAG_0123","Rainstorm",5,3600,3600,0,,5000,1400,0,4600
"FRAG_0124","Resurrection (Essential Oil)",15,4400,7500,3100,,18100,10600,0,7500
"FRAG_0125","Rose Diptyque",15,17000,17000,0,,15000,-2000,0,17000
"FRAG_0126","Review",0,11500,13000,1500,,1500,-11500,0,13000
"FRAG_0127","Rock N Roll",24,21200,21200,0,,24000,2800,0,21200
"FRAG_0128","Rottnest Island Summertime B",12,8650,7000,-1650,,10350,3350,0,7000
"FRAG_0129","Summer Vacay",14,10800,10800,0,,14000,3200,0,13800
"FRAG_0130","Saffron",18,19622,19622,0,,18000,-1622,0,20622
"FRAG_0132","Special Santal",28,1500,28000,26500,,54500,26500,0,28000
"FRAG_0133","Sea Salt",10,8000,8000,0,,10000,2000,0,8000
"FRAG_0134","Signature",32,19000,19000,0,,32000,13000,0,19000
"FRAG_0135","Sugar Cookie",12,12300,12300,0,,12000,-300,0,12300
"FRAG_0136","Sensual Woods",138,164300,159100,-5200,yes,132800,-26300,30000,153300
"FRAG_0137","Santal 33 Style A (Black)",299,351450,306550,-44900,yes,254100,-52450,10000,134450
