line,sheet_name,match,product_code,db_name,db_unit,sheet_says_system_has,db_actually_has,counted_as_written,supplier_code
158,"French Vanilla (Vanilla Bourbon)","supplier code + name","FRAG_0160","French Vanilla (Vanilla Bourbon)","mL",26200,26200,40,"LUX0637"
159,"White Tea","supplier code","FRAG_0161","White Tea","mL",183950,180850,140,"LUX0593"
160,"White Tea & Ginger Flowers","supplier code","FRAG_0162","White Tea & Ginger Flowers","mL",94285,93885,94,"SLC1564"
161,"Wild Lily & Spring Moss","supplier code","FRAG_0163","Wild Lily & Spring Moss","mL",17200,14200,10,"LUX1234"
162,"W Hotel","supplier code","FRAG_0164","W Hotel","mL",31700,31700,31,"LUX29228"
163,"Waterplants","supplier code","FRAG_0165","Waterplants","mL",15200,15200,10,"LUX0737"
164,"Waterfall","supplier code + name","FRAG_0166","Waterfall","mL",107700,206700,107,"LUX0637"
165,"Whiskey Bar","supplier code","FRAG_0167","Whiskey Bar","mL",9050,10650,8,"FIA213959"
166,"White Tea & Bamboo","supplier code","FRAG_0168","White Tea & Bamboo","mL",45400,45400,60,"FIA242839"
167,"Wonderwood","supplier code","FRAG_0169","Wonderwood","mL",10000,10000,10,"FIA222036"
168,"ZWT","supplier code","FRAG_0170","ZWT","mL",27000,27000,27,"FIA223912"
,"","NOT COUNTED","FRAG_0283","ISPT - NEW Fresher Allergen Free Saffron & Oakmoss ","mL",,82500,,"FIA260312"
,"","NOT COUNTED","FRAG_0281","Pina Colada","mL",,63900,,""
,"","NOT COUNTED","FRAG_0294","Autumn Fig","mL",,50000,,"FIA260286"
,"","NOT COUNTED","FRAG_0274","Lugano Bath 6","mL",,31900,,"FIA"
,"","NOT COUNTED","FRAG_0277","Bergamot & Amber","mL",,30975,,"FIA260826"
,"","NOT COUNTED","FRAG_0286","Koko Black","mL",,25800,,""
,"","NOT COUNTED","FRAG_0295","Bois de Jasmine","mL",,21800,,"FIA241285"
,"","NOT COUNTED","FRAG_0300","Spine Twist","mL",,21000,,"SLC3322"
,"","NOT COUNTED","FRAG_0291","Digital Dawn","mL",,21000,,"FIA243412"
,"","NOT COUNTED","FRAG_0323","Baccarat (Strong Version)","mL",,20800,,"Stronger Version SLC_2916"
,"","NOT COUNTED","FRAG_0175","Bergamot White Tea and Musk","mL",,17050,,""
,"","NOT COUNTED","FRAG_0330","Ode Signature","mL",,15000,,"SLC3392"
,"","NOT COUNTED","FRAG_0181","Costes","mL",,15000,,"FIA241178"
,"","NOT COUNTED","FRAG_0293","Under The Lemon Tree","mL",,14000,,"FIA213957"
,"","NOT COUNTED","FRAG_0280","Paspaley Signature","mL",,14000,,""
,"","NOT COUNTED","FRAG_0172","Cinnamon Orange","mL",,13000,,""
,"","NOT COUNTED","FRAG_0289","Lime Basil & Mandarin","mL",,13000,,""
,"","NOT COUNTED","FRAG_0328","Kook","mL",,13000,,""
,"","NOT COUNTED","FRAG_0320","Orange Verte","mL",,12900,,""
,"","NOT COUNTED","FRAG_0311","Zesty White Tea","mL",,12500,,""
,"","NOT COUNTED","FRAG_0298","1 Million","mL",,12000,,""
,"","NOT COUNTED","FRAG_0308","Lemon & Ginger","mL",,11100,,"LUX 1286"
,"","NOT COUNTED","FRAG_0324","Alaska","mL",,11000,,""
,"","NOT COUNTED","FRAG_0176","Bubble gum","mL",,10000,,""
,"","NOT COUNTED","FRAG_0319","Earth","mL",,10000,,""
,"","NOT COUNTED","FRAG_0322","Citrusia","mL",,10000,,""
,"","NOT COUNTED","FRAG_0275","AMAN HARU (Exclusive to ADINA SYDNEY)","mL",,10000,,"SFA1711"
,"","NOT COUNTED","FRAG_0242","Leather & Oud","mL",,10000,,""
,"","NOT COUNTED","FRAG_0317","Chocolate Fudge","mL",,9100,,""
,"","NOT COUNTED","FRAG_0251","Advanced Group Fragrance","mL",,9000,,"FIA223933"
,"","NOT COUNTED","FRAG_0312","Bergamot & Basil","mL",,8500,,""
,"","NOT COUNTED","FRAG_0257","Vanilla Caramel","mL",,8325,,"WO-000811 - 20188"
,"","NOT COUNTED","FRAG_0306","SLS Signature (Blue Drum)","mL",,8000,,""
,"","NOT COUNTED","FRAG_0271","Old Book","mL",,7500,,"FIA212086"
,"","NOT COUNTED","FRAG_0318","Hersperidia","mL",,7000,,""
,"","NOT COUNTED","FRAG_0210","Bouquet Blanc","mL",,6500,,""
,"","NOT COUNTED","FRAG_0299","New York","mL",,6000,,"FIA250927"
,"","NOT COUNTED","FRAG_0265","Second Verse","mL",,6000,,"AA204319"
,"","NOT COUNTED","FRAG_0278","Caramel Popcorn","mL",,6000,,"FIA222376"
,"","NOT COUNTED","FRAG_0215","Beach Side Christmas","mL",,6000,,""
,"","NOT COUNTED","FRAG_0204","French Pear","mL",,6000,,""
,"","NOT COUNTED","FRAG_0226","Coffee Bean & Coconut","mL",,5000,,""
,"","NOT COUNTED","FRAG_0211","Ghost","mL",,4700,,""
,"","NOT COUNTED","FRAG_0279","Cedrat","mL",,4600,,""
,"","NOT COUNTED","FRAG_0285","Invigorate","mL",,4000,,""
,"","NOT COUNTED","FRAG_0267","Buttered Popcorn","mL",,3700,,""
,"","NOT COUNTED","FRAG_0177","Mademoiselle","mL",,3600,,""
,"","NOT COUNTED","FRAG_0310","Tobac amber ","mL",,3011,,"SFA1376"
,"","NOT COUNTED","FRAG_0214","Ocean Breeze","mL",,3000,,""
,"","NOT COUNTED","FRAG_0231","Hyde Signature","mL",,3000,,"U.S.A"
,"","NOT COUNTED","FRAG_0218","Black Musk & Pear","mL",,2500,,""
,"","NOT COUNTED","FRAG_0309","Odour neutralizer (Odour Control)","mL",,2462.5,,"ANOTEC0307"
,"","NOT COUNTED","FRAG_0213","Cucumber Ginger & Mint","mL",,2200,,""
,"","NOT COUNTED","FRAG_0307","Tom Ford Tuscan Leather","mL",,2000,,"FIA211513"
,"","NOT COUNTED","FRAG_0178","A Day at the Beach","mL",,2000,,"FIA241282"
,"","NOT COUNTED","FRAG_0182","Golden Aura","mL",,2000,,"FIA241472"
,"","NOT COUNTED","FRAG_0253","Cactis Aquatique","mL",,2000,,""
,"","NOT COUNTED","FRAG_0183","Crimson Bloom","mL",,2000,,"FIA241469"
,"","NOT COUNTED","FRAG_0321","Bergamot & Lily","mL",,1000,,""
,"","NOT COUNTED","FRAG_0222","Capri","mL",,1000,,""
,"","NOT COUNTED","FRAG_0179","Poudre de Framboise","mL",,1000,,""
,"","NOT COUNTED","FRAG_0219","Mademoiselle de Paris","mL",,1000,,""
,"","NOT COUNTED","FRAG_0217","Cinnamon Buns","mL",,1000,,""
,"","NOT COUNTED","FRAG_0185","Jasmine & Magnolia","mL",,1000,,""
,"","NOT COUNTED","FRAG_0329","Mandarin & Heliotrope","mL",,1000,,"SLC2551 "
,"","NOT COUNTED","FRAG_0202","Fraser Place (Frag World)","mL",,800,,""
,"","NOT COUNTED","FRAG_0233","Nature Florale","mL",,750,,""
,"","NOT COUNTED","FRAG_0184","Lotus Blossom","mL",,700,,"FIA230297"
,"","NOT COUNTED","FRAG_0225","Coconut Palm & Hibiscus","mL",,520,,""
,"","NOT COUNTED","FRAG_0229","Eucalyptus Blue Gum 80-85","mL",,500,,"W4400609"
,"","NOT COUNTED","FRAG_0254","Resurrection Natural Blend","mL",,500,,"B4439905"
,"","NOT COUNTED","FRAG_0196","Stress Relief","mL",,400,,""
,"","NOT COUNTED","FRAG_0287","Kona","mL",,-2000,,""
