product_code,fragrance,supplier_code,unit,before_ml,counted_ml,after_ml,change_ml,before_L,counted_L,after_L,change_L,technician_stock_cleared_ml,status
"FRAG_0007","Australian Bush & Eucalyptus","FIA242846",mL,20000,16000,16000,-4000,20.0,16.0,16.0,-4.0,0,"adjusted"
"FRAG_0010","Avocado & Mint","LUX0783",mL,11000,7000,7000,-4000,11.0,7.0,7.0,-4.0,0,"adjusted"
"FRAG_0051","EO Blend (Essential Oil )","FIA242843",mL,5000,9000,9000,4000,5.0,9.0,9.0,4.0,0,"adjusted"
"FRAG_0151","Tropical Cruise","SFA1209",mL,26000,20000,30000,4000,26.0,20.0,30.0,4.0,0,"adjusted"
"FRAG_0122","Rosewater","SLC2644",mL,5000,4000,1100,-3900,5.0,4.0,1.1,-3.9,0,"adjusted"
"FRAG_0157","Ultimate Leather","SFA1227",mL,5000,7000,8900,3900,5.0,7.0,8.9,3.9,0,"adjusted"
"FRAG_0162","White Tea & Ginger Flowers","SLC1564",mL,93885,94000,90000,-3885,93.9,94.0,90.0,-3.9,6000,"adjusted"
"FRAG_0147","The Rouge","SFA1416",mL,5600,9000,9000,3400,5.6,9.0,9.0,3.4,0,"adjusted"
"FRAG_0128","Rottnest Island Summertime B","FIA241283",mL,7000,12000,10350,3350,7.0,12.0,10.3,3.4,0,"adjusted"
"FRAG_0083","Zen Garden","LUX0928",mL,94350,0,91100,-3250,94.3,0.0,91.1,-3.3,13000,"adjusted"
"FRAG_0015","Beach Party","LUX1189",mL,108800,115000,112000,3200,108.8,115.0,112.0,3.2,0,"adjusted"
"FRAG_0129","Summer Vacay","FIA241782",mL,10800,14000,14000,3200,10.8,14.0,14.0,3.2,0,"adjusted"
"FRAG_0008","Amalfi Coast","",mL,3000,0,0,-3000,3.0,0.0,0.0,-3.0,0,"adjusted"
"FRAG_0022","Blue Grass","FIA231317",mL,48000,48000,51000,3000,48.0,48.0,51.0,3.0,0,"adjusted"
"FRAG_0043","Coast","FIA250654",mL,10000,13000,13000,3000,10.0,13.0,13.0,3.0,0,"adjusted"
"FRAG_0088","Lotus Zen","LUX1335",mL,28900,29000,31900,3000,28.9,29.0,31.9,3.0,0,"adjusted"
"FRAG_0089","Lacoste Original","SLC3015",mL,24000,21000,21000,-3000,24.0,21.0,21.0,-3.0,0,"adjusted"
"FRAG_0142","Santal, Mahogany & Sandalwood","FIA241192",mL,2000,5000,5000,3000,2.0,5.0,5.0,3.0,0,"adjusted"
"FRAG_0110","Orchidee Narco","LUX1129",mL,23100,26000,26000,2900,23.1,26.0,26.0,2.9,0,"adjusted"
